Time [s],Packet ID,MOSI,MISO
12.820620800000000,29596,0x1B,
12.820660000000000,29597,0x40,
12.820694639999999,29597,0x1B,
12.820733920000000,29598,0x40,
12.820768559999999,29598,0x1B,
12.820807759999999,29599,0x40,
12.820842480000000,29599,0x1B,
12.820881679999999,29600,0x40,
12.820916400000000,29600,0x1B,
12.820955600000000,29601,0x40,
12.820990320000000,29601,0x1B,
12.821029520000000,29602,0x40,
12.821064240000000,29602,0x1B,
12.821103440000000,29603,0x40,
12.821138080000001,29603,0x1B,
12.821177360000000,29604,0x40,
12.821211999999999,29604,0x1B,
12.821251200000001,29605,0x40,
12.821285919999999,29605,0x1B,
12.821325119999999,29606,0x40,
12.821359840000000,29606,0x1B,
12.821399039999999,29607,0x40,
12.821436400000000,29607,0x1B,
12.821475599999999,29608,0x40,
12.821510320000000,29608,0x1B,
12.821549520000000,29609,0x40,
12.821584160000000,29609,0x1B,
12.821623440000000,29610,0x40,
12.821658080000001,29610,0x1B,
12.821697280000000,29611,0x40,
12.821732000000001,29611,0x1B,
12.821771200000001,29612,0x40,
12.821805919999999,29612,0x1A,
12.821844640000000,29613,0xC0,
12.821882720000000,29614,0x0F,
12.821919200000000,29614,0x82,
12.821956480000001,29615,0xB0,
12.828714560000000,29616,0xA0,
12.828752560000000,29617,0xE0,
12.828789520000001,29618,0x05,
12.828826319999999,29618,0x20,
12.828863439999999,29618,0x00,
12.828900480000000,29618,0x00,
12.828937600000000,29618,0x00,
12.828974640000000,29618,0x80,
12.829011760000000,29618,0x00,
12.829048800000001,29618,0x76,
12.829085920000001,29618,0x00,
12.829122959999999,29618,0x80,
12.829160079999999,29618,0x06,
12.829197120000000,29618,0x19,
12.829234240000000,29618,0x00,
12.829271280000000,29618,0x00,
12.829308400000000,29618,0x00,
12.829345440000001,29618,0x00,
12.829382640000000,29618,0x4B,
12.829419919999999,29619,0xD0,
12.829457280000000,29620,0x40,
12.829492000000000,29620,0x1B,
12.829531200000000,29621,0x40,
12.829565920000000,29621,0x1B,
12.829607760000000,29622,0x40,
12.829642480000000,29622,0x1B,
12.829681680000000,29623,0x40,
12.829716400000001,29623,0x1B,
12.829755600000000,29624,0x40,
12.829790320000001,29624,0x1B,
12.829829520000001,29625,0x40,
12.829864160000000,29625,0x1B,
12.829903440000001,29626,0x40,
12.829938080000000,29626,0x1B,
12.829977280000000,29627,0x40,
12.830012000000000,29627,0x1B,
12.830051200000000,29628,0x40,
12.830085920000000,29628,0x1B,
12.830125120000000,29629,0x40,
12.830159760000001,29629,0x1B,
12.830199040000000,29630,0x40,
12.830233679999999,29630,0x1B,
12.830272880000001,29631,0x40,
12.830307599999999,29631,0x1B,
12.830346799999999,29632,0x40,
12.830381520000000,29632,0x1B,
12.830420719999999,29633,0x40,
12.830455440000000,29633,0x1B,
12.830494640000000,29634,0x40,
12.830529280000000,29634,0x1B,
12.830568560000000,29635,0x40,
12.830603200000001,29635,0x1B,
12.830645040000000,29636,0x40,
12.830679679999999,29636,0x1B,
12.830718879999999,29637,0x40,
12.830753600000000,29637,0x1B,
12.830792799999999,29638,0x40,
12.830827520000000,29638,0x1B,
12.830866720000000,29639,0x40,
12.830901440000000,29639,0x1B,
12.830940640000000,29640,0x40,
12.830975280000001,29640,0x1B,
12.831014480000000,29641,0x40,
12.831049200000001,29641,0x1B,
12.831088400000001,29642,0x40,
12.831123120000001,29642,0x1B,
12.831162320000001,29643,0x40,
12.831197039999999,29643,0x1B,
12.831236240000001,29644,0x40,
12.831270959999999,29644,0x1B,
12.831310159999999,29645,0x40,
12.831344800000000,29645,0x1B,
12.831384079999999,29646,0x40,
12.831418720000000,29646,0x1B,
12.831457920000000,29647,0x40,
12.831492640000000,29647,0x1B,
12.831531840000000,29648,0x40,
12.831566560000001,29648,0x1B,
12.831605760000000,29649,0x40,
12.831643120000001,29649,0x1B,
12.831682320000001,29650,0x40,
12.831717039999999,29650,0x1A,
12.831755760000000,29651,0xC0,
12.838914000000001,29652,0xA0,
12.838952000000001,29653,0xE0,
12.838988960000000,29654,0x05,
12.839025760000000,29654,0x20,
12.839062880000000,29654,0x00,
12.839099920000001,29654,0x00,
12.839137040000001,29654,0x00,
12.839174079999999,29654,0x80,
12.839211120000000,29654,0x00,
12.839248240000000,29654,0x76,
12.839285280000000,29654,0x00,
12.839322400000000,29654,0x80,
12.839359440000001,29654,0x06,
12.839396480000000,29654,0x19,
12.839433600000000,29654,0x00,
12.839470640000000,29654,0x00,
12.839507760000000,29654,0x00,
12.839544800000001,29654,0x00,
12.839582000000000,29654,0x4B,
12.839619280000001,29655,0xD0,
12.839656639999999,29656,0x40,
12.839691360000000,29656,0x1B,
12.839730560000000,29657,0x40,
12.839765200000000,29657,0x1B,
12.839807040000000,29658,0x40,
12.839841679999999,29658,0x1B,
12.839880880000001,29659,0x40,
12.839915599999999,29659,0x1B,
12.839954799999999,29660,0x40,
